id,name
27322,Mākara Beach
27323,Mākara Hill
27337,Mākaraka
27339,Mākaraka Stream
27342,Mākaramea Stream
27343,Mākarangū Stream
27324,Mākara River
13894,Mākara River
27335,Mākara Stream
27329,Mākara Stream
27328,Mākara Stream
27334,Mākara Stream
27325,Mākara Stream
27332,Mākara Stream
27327,Mākara Stream
27331,Mākara Stream
27330,Mākara Stream
27333,Mākara Stream
27326,Mākara Stream
27349,Mākareao
27357,Makaretū Stream
55861,Makaretū Stream
27364,Mākarika Stream
7199,Mākaro / Ward Island
27381,Mākawakawa Stream
27380,Mākawakawa Stream
27394,Mākiekie / Coal Creek
54957,Mākino Forest
27413,Mākiore Stream
27414,Mākiri
27421,Mākirikiri Stream
27424,Mākirikiri Stream
32784,Mākirikiri Stream North Branch
27434,Mākōkako Stream
27446,Makōkōmuka Stream
27445,Mākōkōmuka Stream
58911,Mākōkōmuka Stream
3044,Mākōkōmuka Stream
3043,Mākōkōmuka Stream
27462,Mākorokoro Stream
27470,Mākōtukutuku Stream
27471,Mākōtukutuku Stream / Washpool Creek
27477,Mākōwhai Stream
58832,Manapōuri
58617,Manawahē
3067,Manawatāwhi / Great Island
3068,Manawatāwhi / Three Kings Islands
27567,Manawatū River
58038,Manawatū-Whanganui Region
27618,Mangahārei Stream
27642,Mangahinātore Stream
27668,Mangahoukū Stream
55039,Mangakāhia Forest
27709,Mangakāhia River
7530,Mangakōkakotaea Stream
27794,Mangakōpikopiko Stream
27793,Mangakōpikopiko Stream
54508,Mangakōpikopiko Stream
27809,Mangakōtukutuku Stream
27810,Mangakōtukutuku Stream
27811,Mangakōtukutuku Stream
27820,Mangakūkū Stream
27828,Mangakurī Stream
27834,Mangamāhaki Stream
27845,Mangamāia Stream
27877,Mangamātukutuku Stream
27886,Mangamāunu
27888,Mangamāunu Stream
55860,Mangamōteo Stream
27910,Mangamōteo Stream
27936,Manganīkau Stream
28028,Mangaongāwāhine Stream
28065,Mangaotāne Stream
28064,Mangaotāne Stream
28170,Mangapōhue Stream
28173,Mangapōike River
55888,Mangapōuri Stream
28188,Mangapōuri Stream
55463,Mangapū Stream
28223,Mangarākai Stream
28224,Mangarākau
28225,Mangarākau Stream
28227,Mangarākeke Stream
54579,Mangatāwhai
28383,Mangatāwhiri
28384,Mangatāwhiri Crossing
55041,Mangatāwhiri Forest
28385,Mangatāwhiri River
28445,Mangatītī Stream
28446,Mangatītī Stream
28494,Mangatōtara Stream
55042,Mangatū Forest
28498,Mangatū River
28504,Mangatū Stream
28527,Mangatūtaekurī
28526,Mangatūtae Stream
28616,Māngere
28617,Māngere Bridge
28618,Māngere East
28619,Māngere Falls
3167,Māngere Inlet
28620,Māngere River
28621,Māngere Stream
28629,Mangōnui
54958,Mangōnui Forest
3169,Mangōnui Harbour
28659,Man-o-War Bay / Pāharakeke
58681,Mānuka
28683,Mānuka Hill
28692,Mānuka Stream
54413,Mānunutahi Bay
7362,Manupīrua Bay
54926,Mānutewhau Creek
28721,Manutūkē
28726,Māori Bay
28728,Māori Channel
28749,Māori Gully
28746,Māori Gully
28748,Māori Gully
28761,Māori Pā Beach
28766,Māori Point
28762,Māori Point
28765,Māori Point
3203,Māori Rocks
58490,Māpiu
28787,Māpua
28823,Mārahau
28824,Mārahau River
57956,Māra kura
28831,Marama Tāwhaua
28848,Mārau
28849,Mārau Beach
55045,Mareretū Forest
55726,Mārima
28895,Māriri
28957,Martello Rock / Ruakōura
7363,Mātaikōtare
58080,Mātaitai Bay
54961,Mātaitai Forest
58078,Mātaitai Point
58081,Mātaitai Scenic Reserve
3279,Matakā
29102,Mātaki Stream
29106,Mātakitaki
29107,Mātakitaki River
29108,Mātakitaki River East Branch
47716,Mātakitaki River West Branch
29156,Matapū Stream
29183,Matatā
29215,Mātāwai
59517,Mātāwai
